Biblioteca	app.drey.Biblioteca	298.1MB
Flatsweep	io.github.giantpinkrobots.flatsweep	137.7kB
Varia	io.github.giantpinkrobots.varia	6.3MB
Passy	io.github.glitterware.Passy	108.0MB
System Monitoring Center	io.github.hakandundar34coding.system-monitoring-center	13.8MB
Hydrus	io.github.hydrusnetwork.hydrus	768.6MB
Rymdport	io.github.jacalz.rymdport	22.6MB
Linux-Assistant	io.github.jean28518.Linux-Assistant	94.7MB
Hidamari	io.github.jeffshee.Hidamari	101.5MB
Monitorets	io.github.jorchube.monitorets	2.1MB
LightkeeperRM	io.github.kalaksi.Lightkeeper	9.3MB
Colorway	io.github.lainsce.Colorway	322.0kB
Khronos	io.github.lainsce.Khronos	203.8kB
Letslearn	io.github.letslearn_app.letslearn	236.7MB
pwall	io.github.ltiber.Pwall	357.4kB
NightPDF	io.github.lunarequest.NightPDF	736.9MB
ImageFan Reloaded	io.github.mihnea_radulescu.imagefanreloaded	87.8MB
Vaults	io.github.mpobaschnig.Vaults	3.7MB
Inspector	io.github.nokse22.inspector	110.1kB
Mini Text	io.github.nokse22.minitext	40.4kB
Notes	io.github.nuttyartist.notes	10.9MB
Polypass	io.github.polypixeldev.Polypass	28.4MB
AppImage Pool	io.github.prateekmedia.appimagepool	26.3MB
Dayon!	io.github.retgal.Dayon	167.8MB
Mousai	io.github.seadve.Mousai	4.9MB
64Gram Desktop	io.github.tdesktop_x64.TDesktop	211.1MB
SaveDesktop	io.github.vikdevelop.SaveDesktop	703.5kB
Impression	io.gitlab.adhami3310.Impression	10.0MB
crqt-ng	io.gitlab.coolreader_ng.crqt-ng	11.6MB
Package Transporter	io.gitlab.gwendalj.package-transporter	351.7kB
Pomodoro	io.gitlab.idevecore.Pomodoro	6.0MB
Upscaler	io.gitlab.theevilskeleton.Upscaler	64.7MB
KopiaUI	io.kopia.KopiaUI	288.6MB
Mission Center	io.missioncenter.MissionCenter	15.8MB
Qt QDBusViewer	io.qt.qdbusviewer	29.7kB
Vikunja	io.vikunja.Vikunja	257.7MB
Wasabi Wallet	io.wasabiwallet.WasabiWallet	207.4MB
Gear Lever	it.mijorus.gearlever	9.6MB
Pdf Metadata Editor	me.broken_by.PdfMetadataEditor	59.0MB
Master PDF Editor	net.codeindustry.MasterPDFEditor	16.1MB
Joplin	net.cozic.joplin_desktop	635.3MB
Converseen	net.fasterland.converseen	59.5MB
FileBot	net.filebot.FileBot	336.4MB
Outwiker	net.jenyay.Outwiker	315.9MB
Speech Note	net.mkiol.SpeechNote	5.8GB
RPCS3	net.rpcs3.RPCS3	118.9MB
SonoBus	net.sonobus.SonoBus	26.5MB
ImHex	net.werwolv.ImHex	50.6MB
Xmind (2023)	net.xmind.XMind	421.8MB
Session Desktop	network.loki.Session	332.6MB
Black Fennec	org.blackfennec.app	1.4MB
Base	org.blackfennec.app.extensions.base	162.3kB
Core	org.blackfennec.app.extensions.core	374.3kB
Briar	org.briarproject.Briar	310.4MB
Cockpit Client	org.cockpit_project.CockpitClient	12.4MB
Contour Terminal Emulator	org.contourterminal.Contour	7.7MB
Cryptomator	org.cryptomator.Cryptomator	107.3MB
CoreAction	org.cubocore.CoreAction	1.5MB
CoreHunt	org.cubocore.CoreHunt	775.2kB
CoreImage	org.cubocore.CoreImage	780.8kB
CoreInfo	org.cubocore.CoreInfo	11.2MB
CorePDF	org.cubocore.CorePDF	7.6MB
CoreStats	org.cubocore.CoreStats	1.6MB
ARX	org.deidentifier.arx	239.8MB
Deluge	org.deluge_torrent.deluge	93.7MB
Dungeon Crawl Stone Soup	org.develz.Crawl	42.3MB
DuckStation	org.duckstation.DuckStation	113.9MB
ArdorQuery	org.emptyflow.ArdorQuery	880.1kB
Feather	org.featherwallet.Feather	185.5MB
YOGA Image Optimizer	org.flozz.yoga-image-optimizer	26.3MB
Freedesktop Platform	org.freedesktop.Platform	569.0MB
Freedesktop Platform	org.freedesktop.Platform	591.5MB
Mesa	org.freedesktop.Platform.GL.default	424.1MB
Mesa (Extra)	org.freedesktop.Platform.GL.default	424.1MB
Mesa	org.freedesktop.Platform.GL.default	486.1MB
Mesa (Extra)	org.freedesktop.Platform.GL.default	486.1MB
Mesa	org.freedesktop.Platform.GL32.default	446.7MB
Intel	org.freedesktop.Platform.VAAPI.Intel	46.5MB
Intel	org.freedesktop.Platform.VAAPI.Intel	46.5MB
ffmpeg-full	org.freedesktop.Platform.ffmpeg-full	9.7MB
ffmpeg-full	org.freedesktop.Platform.ffmpeg-full	20.5MB
i386	org.freedesktop.Platform.ffmpeg_full.i386	10.0MB
openh264	org.freedesktop.Platform.openh264	778.2kB
openh264	org.freedesktop.Platform.openh264	790.0kB
Freedesktop SDK	org.freedesktop.Sdk	1.5GB
Freedesktop SDK	org.freedesktop.Sdk	1.6GB
FreeFileSync	org.freefilesync.FreeFileSync	12.8MB
Freeplane	org.freeplane.App	246.7MB
Gephi	org.gephi.Gephi	263.4MB
Outline Manager	org.getoutline.OutlineManager	300.2MB
Ghidra	org.ghidra_sre.Ghidra	1.5GB
Geary	org.gnome.Geary	25.5MB
Image Viewer	org.gnome.Loupe	27.3MB
HEIC	org.gnome.Loupe.HEIC	963.1kB
GNOME Application Platform version 43	org.gnome.Platform	863.8MB
GNOME Application Platform version 44	org.gnome.Platform	863.4MB
GNOME Application Platform version 45	org.gnome.Platform	1.0GB
i386	org.gnome.Platform.Compat.i386	499.0MB
GNOME Software Development Kit version 44	org.gnome.Sdk	1.9GB
Symbolic Preview	org.gnome.design.SymbolicPreview	9.3MB
Identity	org.gnome.gitlab.YaLTeR.Identity	8.0MB
Bookup	org.gnome.gitlab.ilhooq.Bookup	360.4kB
Breeze GTK theme	org.gtk.Gtk3theme.Breeze	645.6kB
adw-gtk3-dark Gtk Theme	org.gtk.Gtk3theme.adw-gtk3-dark	1.1MB
GtkHash	org.gtkhash.gtkhash	266.2kB
ioquake3	org.ioquake3.ioquake3	5.9MB
Ikona	org.kde.Ikona	10.3MB
Adwaita theme	org.kde.KStyle.Adwaita	3.5MB
Kvantum theme engine	org.kde.KStyle.Kvantum	28.9MB
Kvantum theme engine	org.kde.KStyle.Kvantum	25.6MB
Kvantum theme engine	org.kde.KStyle.Kvantum	25.3MB
KDE Application Platform	org.kde.Platform	858.1MB
KDE Application Platform	org.kde.Platform	881.8MB
KDE Application Platform	org.kde.Platform	716.0MB
KDE Application Platform	org.kde.Platform	720.1MB
KDE Application Platform	org.kde.Platform	745.2MB
QGnomePlatform	org.kde.PlatformTheme.QGnomePlatform	25.0MB
QtSNI	org.kde.PlatformTheme.QtSNI	3.3MB
KDE Software Development Kit	org.kde.Sdk	2.0GB
KDE Software Development Kit	org.kde.Sdk	1.9GB
KDE Software Development Kit	org.kde.Sdk	2.2GB
AudioTube	org.kde.audiotube	53.4MB
Falkon	org.kde.falkon	176.1MB
Index	org.kde.index	18.5MB
KDE Itinerary	org.kde.itinerary	19.3MB
Weather	org.kde.kweather	2.4MB
PlasmaTube	org.kde.plasmatube	53.3MB
Organizer	org.librehunt.Organizer	1.1MB
Axolotl	org.nanuc.Axolotl	307.2MB
Tagger	org.nickvision.tagger	88.6MB
Parabolic	org.nickvision.tubeconverter	152.7MB
OpenAndroidInstaller	org.openandroidinstaller.OpenAndroidInstaller	65.7MB
ParaView	org.paraview.ParaView	1.1GB
Signal Desktop	org.signal.Signal	418.8MB
SoapUI Open Source	org.soapui.SoapUI	327.3MB
Squey	org.squey.Squey	518.7MB
Pippy	org.sugarlabs.Pippy	41.9MB
Telegram Desktop	org.telegram.desktop	210.5MB
Telegram Desktop Webview Add-on	org.telegram.desktop.webview	104.9MB
TurboWarp	org.turbowarp.TurboWarp	311.8MB
UPnP Router Control	org.upnproutercontrol.UPnPRouterControl	625.7kB
Upscayl	org.upscayl.Upscayl	545.9MB
DXVK	org.winehq.Wine.DLLs.dxvk	22.7MB
Gecko	org.winehq.Wine.gecko	110.3MB
Mono	org.winehq.Wine.mono	245.1MB
Wireshark	org.wireshark.Wireshark	183.9MB
Warpinator	org.x.Warpinator	198.5MB
Yamagi Quake II	org.yamagi.YamagiQ2	10.2MB
ZAP	org.zaproxy.ZAP	414.8MB
Zotero	org.zotero.Zotero	139.8MB
Imaginer	page.codeberg.Imaginer.Imaginer	8.5MB
Geobug	page.codeberg.tpikonen.geobug	525.3kB
Cutter	re.rizin.cutter	190.5MB
Commit	re.sonny.Commit	492.0kB
Graphs	se.sjoerd.Graphs	229.2MB
gtkcord4	so.libdb.gtkcord4	66.5MB
OneKey	so.onekey.Wallet	500.0MB
coppwr	xyz.dimtpap.coppwr	19.2MB
Door Knocker	xyz.tytanium.DoorKnocker	140.3kB
XClicker	xyz.xclicker.xclicker	93.2kB
